  case_num   rel_type      obj_val       time   max_eig_ratio 
     case9         CH  5297.406729   6.905869 5.469665e-11  
     case9        SDP  5297.406725   4.197835 4.716257e-10  
     case9       SOCP  5297.386464   3.410724 2.158040e-09  
    case14         CH  8081.661679   5.842959 4.344259e-09  
    case14        SDP  8081.661650   7.013438 1.138558e-09  
    case14       SOCP  8075.261709  14.589485 7.288406e-09  
    case30         CH   574.522013  20.448341 1.405049e-08  
    case30        SDP   574.522664  11.588780 3.023142e-07  
    case30       SOCP   573.573675  10.917290 2.842328e-09  
    case39         CH 41889.143536  13.649738 1.753589e-08  
    case39        SDP 41889.189906  16.718062 1.964853e-07  
    case39       SOCP 41881.491714  15.855658 8.928942e-10  
    case57         CH 41738.263054  28.393288 2.132176e-08  
    case57        SDP 41738.264923  24.156516 1.712094e-08  
    case57       SOCP 41712.000897  18.054066 1.230200e-03  
